City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nelson Bay,-32.72,152.15,79.0,53,75,5.82,AU,1603330453
Tuatapere,-46.13,167.68,60.04,54,100,3.85,NZ,1603330678
Grindavik,63.84,-22.43,41.0,86,90,24.16,IS,1603330679
Xining,36.62,101.77,44.33,49,0,2.37,CN,1603330679
Kieta,-6.22,155.63,84.78,72,6,7.65,PG,1603330679
Kalabo,-14.97,22.68,71.33,44,24,3.98,ZM,1603330680
Sambava,-14.27,50.17,73.58,80,86,13.27,MG,1603330680
Wawa,9.9,4.42,77.13,63,0,2.68,NG,1603330681
Manama,26.22,50.58,78.8,69,0,3.36,BH,1603330681
Labuan,5.28,115.24,82.4,83,40,6.93,MY,1603330682
Wexford,52.33,-6.46,46.0,90,0,1.01,IE,1603330682
Kyren,51.68,102.14,37.18,72,0,1.7,RU,1603330456
Boquira,-12.82,-42.73,76.26,39,33,3.62,BR,1603330683
Bathsheba,13.22,-59.52,82.4,78,40,12.75,BB,1603330683
Ogbomosho,8.13,4.25,75.2,88,2,3.27,NG,1603330684
Longyearbyen,78.22,15.64,21.2,73,75,8.05,SJ,1603330684
Diu,20.71,70.98,80.74,78,13,7.52,IN,1603330685
Shebalino,51.29,85.68,46.9,49,46,14.5,RU,1603330685
Kalat,29.02,66.59,44.89,42,0,2.8,PK,1603330685
Hare Bay,48.85,-54.01,39.2,86,90,18.34,CA,1603330686
Kirkuk,35.47,44.39,64.74,29,0,3.83,IQ,1603330686
Tabou,4.42,-7.35,77.47,88,99,5.7,CI,1603330687
Ahipara,-35.17,173.17,61.07,89,100,5.1,NZ,1603330687
Byron Bay,-28.65,153.62,71.01,82,90,3.36,AU,1603330688
Isangel,-19.55,169.27,86.0,62,20,9.17,VU,1603330688
Saint-Joseph,-21.37,55.62,69.01,68,61,8.05,RE,1603330688
Susuman,62.78,148.17,16.99,81,100,1.16,RU,1603330689
Plattling,48.78,12.87,46.0,87,71,6.26,DE,1603330689
Arenápolis,-14.45,-56.85,78.51,60,6,1.77,BR,1603330690
Tocopilla,-22.09,-70.2,61.93,63,39,5.7,CL,1603330690
Arroyo de la Encomienda,41.61,-4.8,52.0,100,90,6.93,ES,1603330690
Hastings,50.86,0.57,57.99,80,0,7.0,GB,1603330607
Okhotsk,59.38,143.3,35.65,91,100,30.74,RU,1603330691
Maniitsoq,65.42,-52.9,27.79,94,99,6.82,GL,1603330692
Meulaboh,4.14,96.13,82.08,72,100,3.56,ID,1603330692
Cartagena del Chairá,1.33,-74.84,72.43,97,100,2.46,CO,1603330692
Macao,22.2,113.55,73.4,69,20,23.04,MO,1603330413
Svodín,47.91,18.5,50.0,87,0,5.01,SK,1603330693
Hong Kong,22.29,114.16,75.99,65,36,1.01,HK,1603330628
Don Luan,11.53,106.92,80.58,72,66,4.79,VN,1603330694
Zaysan,47.47,84.87,50.49,41,0,3.96,KZ,1603330695
Sioux Lookout,50.1,-91.92,32.0,98,90,3.36,CA,1603330695
Waipawa,-41.41,175.52,63.0,63,0,18.34,NZ,1603330695
Vila do Maio,15.13,-23.22,80.6,74,20,17.22,CV,1603330696
Brae,60.4,-1.35,46.4,70,100,21.92,GB,1603330696
Russkiy Aktash,55.04,52.12,32.0,95,90,11.18,RU,1603330697
Kokstad,-30.55,29.42,54.12,81,17,4.36,ZA,1603330697
Lucapa,-8.42,20.74,66.81,95,100,1.88,AO,1603330697
Birjand,32.87,59.22,37.4,15,0,9.17,IR,1603330698
Ingham,42.6,-84.38,48.2,81,90,4.7,US,1603330698
Henties Bay,-22.12,14.28,60.01,88,5,7.56,NA,1603330402
Tilichiki,60.47,166.1,40.03,86,100,6.73,RU,1603330699
Doha,25.29,51.53,78.8,69,0,6.93,QA,1603330543
Makakilo City,21.35,-158.09,84.2,70,1,10.29,US,1603330533
Lorengau,-2.02,147.27,83.89,74,88,6.4,PG,1603330700
Anan,33.92,134.65,71.6,64,75,12.75,JP,1603330701
Synya,65.37,58.04,20.62,96,100,7.63,RU,1603330701
Thanatpin,17.21,96.3,77.0,88,75,2.24,MM,1603330702
Altagracia de Orituco,9.86,-66.38,73.8,86,89,2.44,VE,1603330702
Anking,30.51,117.05,67.19,57,0,7.61,CN,1603330702
Nome,64.5,-165.41,39.2,86,90,6.93,US,1603330703
Lahaina,20.88,-156.68,91.4,29,20,8.05,US,1603330703
Hereford,52.06,-2.71,52.0,95,90,1.01,GB,1603330704
Orán,-23.13,-64.33,82.0,57,100,2.62,AR,1603330704
Manuk Mangkaw,4.8,119.85,84.33,77,70,17.09,PH,1603330704
Prainha,-1.8,-53.48,83.03,59,1,4.36,BR,1603330705
Pacific Grove,36.62,-121.92,64.4,72,1,3.36,US,1603330705
Tam Ky,15.57,108.48,75.2,78,75,2.24,VN,1603330706
Atasū,48.68,71.64,38.43,73,44,10.4,KZ,1603330706
Seshcha,53.74,33.34,41.14,95,96,5.03,RU,1603330707
Noril'sk,69.35,88.2,10.4,85,40,13.42,RU,1603330707
Los Teques,10.34,-67.04,64.65,93,14,0.16,VE,1603330707
San Cristobal,7.77,-72.22,66.36,88,51,2.51,VE,1603330708
San Ramon,37.78,-121.98,86.0,16,1,3.36,US,1603330622
Horta,38.53,-28.63,62.71,71,94,15.88,PT,1603330709
Poum,-20.23,164.02,77.25,76,0,13.67,NC,1603330709
Sawtell,-30.38,153.1,75.2,60,40,16.11,AU,1603330709
Seoul,37.57,126.98,60.8,82,90,6.11,KR,1603330472
Plettenberg Bay,-34.05,23.37,60.76,59,0,2.46,ZA,1603330710
Oranjestad,12.52,-70.03,84.2,83,20,14.99,AW,1603330711
Belmonte,-15.86,-38.88,77.0,78,75,10.29,BR,1603330711
Bundaberg,-24.85,152.35,80.01,54,90,11.41,AU,1603330712
Samarinda,-0.5,117.15,87.93,60,73,4.14,ID,1603330712
Zhezkazgan,47.8,67.71,38.14,67,4,11.99,KZ,1603330712
Abonnema,4.71,6.79,77.0,94,20,3.94,NG,1603330713
Narok,-1.08,35.86,56.71,84,46,5.32,KE,1603330713
Muravlenko,63.79,74.52,16.86,97,90,7.11,RU,1603330714
Necochea,-38.55,-58.74,46.99,72,51,8.99,AR,1603330714
Talcahuano,-36.72,-73.12,53.6,71,0,10.29,CL,1603330714
San-Pédro,4.75,-6.64,76.3,91,34,5.1,CI,1603330715
Bismarck,46.81,-100.78,30.2,80,75,6.93,US,1603330659
Pinotepa de Don Luis,16.42,-97.92,70.95,99,34,1.1,MX,1603330716
Mīzan Teferī,6.98,35.58,60.78,87,24,2.51,ET,1603330716
Bonfim,3.08,-59.95,83.98,48,28,6.58,BR,1603330716
Oga,46.46,10.35,43.0,100,0,3.36,IT,1603330717
Bouca,6.51,18.27,69.19,91,41,2.62,CF,1603330717
Bolobo,-2.17,16.23,71.17,90,100,2.13,CD,1603330718
Nuuk,64.18,-51.72,30.2,86,82,10.29,GL,1603330718
Baylo,7.85,126.06,86.59,69,100,4.68,PH,1603330719
Fuxin,42.02,121.66,43.48,49,82,13.78,CN,1603330719
Chërnaya Kholunitsa,58.85,51.72,29.08,96,99,10.54,RU,1603330719
Havelock,34.88,-76.9,71.01,88,1,4.7,US,1603330720
Traverse City,44.76,-85.62,44.6,75,90,3.36,US,1603330520
Champotón,19.35,-90.72,79.32,87,100,6.53,MX,1603330721
Mandalgovi,45.76,106.27,31.41,84,0,9.08,MN,1603330721
Delémont,47.36,7.34,52.0,100,100,1.12,CH,1603330721
Chauk,20.88,94.82,77.22,85,100,5.91,MM,1603330722
Kambove,-10.88,26.6,65.44,85,98,1.57,CD,1603330722
Tutóia,-2.76,-42.27,80.33,81,1,13.29,BR,1603330723
Touros,-5.2,-35.46,75.2,100,75,4.7,BR,1603330723
Babati,-4.22,35.75,59.92,87,100,2.1,TZ,1603330724
Graaff-Reinet,-32.25,24.53,58.82,35,0,3.74,ZA,1603330724
Noumea,-22.28,166.46,84.99,51,90,9.17,NC,1603330724
Pilot Butte,50.47,-104.42,25.0,62,90,5.82,CA,1603330725
Atar,20.52,-13.05,84.09,29,0,2.57,MR,1603330725
Valença do Piauí,-6.41,-41.75,78.22,33,0,5.23,BR,1603330726
Natchez,31.56,-91.4,73.4,83,1,4.74,US,1603330726
Denpasar,-8.65,115.22,86.0,79,40,11.41,ID,1603330579
Loikaw,19.67,97.21,70.61,87,99,2.21,MM,1603330727
Madaoua,14.07,5.96,82.69,15,0,5.06,NE,1603330727
Malindi,-3.22,40.12,76.59,89,37,10.6,KE,1603330728
Along,28.17,94.77,70.48,74,3,0.4,IN,1603330728
Bonito,-21.12,-56.48,74.05,76,61,3.0,BR,1603330729
Saint Anthony,45.02,-93.22,35.01,74,90,0.45,US,1603330729
High Prairie,55.43,-116.49,14.77,92,42,5.32,CA,1603330548
High Rock,26.62,-78.28,77.0,88,75,5.82,BS,1603330730
Raudeberg,61.99,5.14,44.01,85,76,20.87,NO,1603330730
Kununurra,-15.77,128.73,93.2,49,100,5.82,AU,1603330731
Mogadishu,2.04,45.34,79.65,85,6,12.03,SO,1603330731
Makkah al Mukarramah,21.43,39.83,72.28,25,0,1.66,SA,1603330610
Viedma,-40.81,-63.0,55.0,68,97,1.99,AR,1603330732
Tomatlán,19.93,-105.25,79.52,87,80,2.39,MX,1603330732
Lyuban',52.8,28.0,47.03,90,100,7.67,BY,1603330733
Bonavista,48.65,-53.11,44.01,88,63,5.99,CA,1603330733
Hirara,24.8,125.28,78.8,94,75,16.11,JP,1603330733
Russell,32.35,-85.2,73.4,88,1,5.39,US,1603330734
Burns Lake,54.23,-125.75,24.75,96,84,3.78,CA,1603330734
Hakkâri Province,37.58,44.17,44.11,67,0,3.13,TR,1603330735
Marzuq,14.4,46.47,65.95,27,8,2.89,YE,1603330735
Villaviciosa,43.48,-5.44,60.01,74,0,6.31,ES,1603330736
Padang,-0.95,100.35,76.96,79,100,6.53,ID,1603330736
Matam,15.62,-13.33,78.8,61,25,2.24,SN,1603330736
La Seyne-sur-Mer,43.1,5.88,64.99,76,100,15.99,FR,1603330737
Palu,-0.89,119.87,89.15,57,52,2.01,ID,1603330464
Tal'menka,53.82,83.57,51.8,32,100,17.9,RU,1603330738
Tamworth,52.63,-1.7,51.8,93,75,8.05,GB,1603330738
Perth,-31.93,115.83,64.99,52,20,10.29,AU,1603330703
Yabrūd,33.97,36.66,55.0,76,0,3.36,SY,1603330739
Paraíso,9.84,-83.87,68.0,100,75,3.36,CR,1603330739
Verāval,20.9,70.37,81.01,78,1,11.07,IN,1603330740
Novyy Urgal,51.07,132.56,40.41,71,73,9.04,RU,1603330740
Tongren,27.72,109.19,67.37,59,0,1.83,CN,1603330741
